Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17306293,"Shift (Silo, #2)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",4,4.12,Broad Reach Publishing,Kindle Edition,579,2013,2013,,2018/03/10,e-shelf,e-shelf (#30),read,,,,1,0
13324841,"Son (The Giver, #4)",Lois Lowry,"Lowry, Lois",,"=""0547887205""","=""9780547887203""",4,3.99,Clarion Books,Hardcover,393,2012,2012,,2018/03/14,,,read,,,,1,0
7967,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"Card, Orson Scott",,"=""0812550757""","=""9780812550757""",0,4.09,Tor Books,Paperback,382,1994,1986,,2018/03/08,"to-read, e-shelf","to-read (#8), e-shelf (#28)",to-read,,,,0,0
38924969,Best Business Letters: Kit,Barry Pestana,"Pestana, Barry",,"=""""","=""9781863950978""",0,0.0,Black Inc.,,,,,,2018/03/03,"unclassified-exclusive, non-fiction","unclassified-exclusive (#126), non-fiction (#66)",unclassified-exclusive,,,,0,0
1798045,Oxford Dictionary of Rhymes,Oxford University Press,"Press, Oxford University",,"=""0192806882""","=""9780192806888""",0,5.00,"Oxford University Press, USA",Paperback,413,2007,2006,,2018/03/03,"unclassified-exclusive, non-fiction","unclassified-exclusive (#125), non-fiction (#65)",unclassified-exclusive,,,,0,0
38923757,Macquarie Pocket Dictionary,Alison Moore,"Moore, Alison",,"=""""","=""9781742460710""",0,0.0,John Wiley & Sons Australia Ltd,,,2010,,,2018/03/03,"unclassified-exclusive, non-fiction","unclassified-exclusive (#124), non-fiction (#64)",unclassified-exclusive,,,,0,0
34690768,Justice League by Geoff Johns Box Set Vol. 1,Geoff Johns,"Johns, Geoff",Jim Lee,"=""1401276121""","=""9781401276126""",0,3.83,DC Comics,Paperback,500,2017,,,2018/03/03,"unclassified-exclusive, fiction","unclassified-exclusive (#123), fiction (#136)",unclassified-exclusive,,,,0,0
35959857,Before I Was Yours,Virginia Macgregor,"Macgregor, Virginia",,"=""0751565229""","=""9780751565225""",0,4.18,Sphere,Paperback,448,2018,2017,,2018/02/17,"unclassified-exclusive, fiction","unclassified-exclusive (#16), fiction (#24)",unclassified-exclusive,,,,0,0
13497991,"The Hydrogen Sonata (Culture, #10)",Iain M. Banks,"Banks, Iain M.",,"=""0356501507""","=""9780356501505""",0,4.19,Orbit,Hardcover,517,2012,2012,,2018/03/02,"fiction, unclassified-exclusive","fiction (#135), unclassified-exclusive (#122)",unclassified-exclusive,,,,0,0
33260844,The Stolen Child,Sanjida Kay,"Kay, Sanjida",,"=""""","=""""",0,3.97,Corvus,Kindle Edition,337,2017,2017,,2018/03/02,"unclassified-exclusive, fiction","unclassified-exclusive (#121), fiction (#134)",unclassified-exclusive,,,,0,0
5886881,Dark Places,Gillian Flynn,"Flynn, Gillian",,"=""0307341569""","=""9780307341563""",0,3.95,Shaye Areheart Books,Hardcover,349,2009,2009,,2018/03/02,"fiction, unclassified-exclusive","fiction (#133), unclassified-exclusive (#120)",unclassified-exclusive,,,,0,0
8643407,"Hard Magic (Grimnoir Chronicles, #1)",Larry Correia,"Correia, Larry",,"=""1439134340""","=""9781439134344""",0,4.14,Baen,Mass Market Paperback,423,2011,2011,,2018/03/01,"unclassified-exclusive, e-shelf","unclassified-exclusive (#119), e-shelf (#27)",unclassified-exclusive,,,,0,0
101869,"The Atrocity Archives (Laundry Files, #1)",Charles Stross,"Stross, Charles",,"=""0441013651""","=""9780441013654""",0,3.90,Ace,Paperback,345,2006,2004,,2018/03/01,"unclassified-exclusive, e-shelf","unclassified-exclusive (#118), e-shelf (#25)",unclassified-exclusive,,,,0,0
2118745,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,"Ness, Patrick",,"=""1406310255""","=""9781406310252""",0,3.97,Walker,Hardcover,479,2008,2008,,2018/03/01,"e-shelf, unclassified-exclusive","e-shelf (#24), unclassified-exclusive (#117)",unclassified-exclusive,,,,0,0
448873,"The Thief (The Queen's Thief, #1)",Megan Whalen Turner,"Turner, Megan Whalen",,"=""0060824972""","=""9780060824976""",0,3.86,Greenwillow Books,Paperback,280,2005,1996,,2018/03/01,"unclassified-exclusive, e-shelf","unclassified-exclusive (#115), e-shelf (#20)",unclassified-exclusive,,,,0,0
9533378,"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,"Hearne, Kevin",,"=""0345522478""","=""9780345522474""",0,4.10,Del Rey,Mass Market Paperback,304,2011,2011,,2018/03/01,"unclassified-exclusive, e-shelf","unclassified-exclusive (#116), e-shelf (#22)",unclassified-exclusive,,,,0,0
764347,"Unwind (Unwind, #1)",Neal Shusterman,"Shusterman, Neal",,"=""1416912045""","=""9781416912040""",0,4.17,Simon & Schuster Books for Young Readers,Hardcover,337,2007,2007,,2018/03/01,"unclassified-exclusive, e-shelf","unclassified-exclusive (#114), e-shelf (#19)",unclassified-exclusive,,,,0,0
14915175,"Blade Song (Colbana Files, #1)",J.C. Daniels,"Daniels, J.C.",,"=""1617507776""","=""9781617507779""",0,3.79,"Shiloh Walker, Inc",ebook,174,2012,2012,,2018/03/01,"e-shelf, unclassified-exclusive","e-shelf (#17), unclassified-exclusive (#112)",unclassified-exclusive,,,,0,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",5,4.31,Scholastic Press,Hardcover,391,2009,2009,,2018/02/28,,,read,,,,1,0
18630,"The Player of Games (Culture, #2)",Iain M. Banks,"Banks, Iain M.",,"=""0061053562""","=""9780061053566""",5,4.28,HarperPrism,Paperback,293,1997,1988,,2018/02/28,,,read,,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",5,4.07,Scholastic Press,Hardcover,398,2010,2010,,2018/02/28,,,read,,,,1,0
38810100,Heinemann Primary Dictionary,Linsay Knight,"Knight, Linsay",,"=""""","=""9780731219599""",0,0.0,Pearson Australia,Paperback,692,,,,2018/02/26,"unclassified-exclusive, non-fiction","unclassified-exclusive (#111), non-fiction (#63)",unclassified-exclusive,,,,0,0
7690858,Handbook Of Practical English / R. C. Corish,R.C. Corish,"Corish, R.C.",,"=""0723350272""","=""9780723350279""",0,0.0,,,,,,,2018/02/26,"unclassified-exclusive, non-fiction","unclassified-exclusive (#110), non-fiction (#62)",unclassified-exclusive,,,,0,0
7015215,A Dictionary of Law,Jonathan Law,"Law, Jonathan",,"=""0199551243""","=""9780199551248""",0,4.14,"Oxford University Press, USA",Paperback,602,2009,1994,,2018/02/26,"unclassified-exclusive, non-fiction","unclassified-exclusive (#109), non-fiction (#61)",unclassified-exclusive,,,,0,0
